id,title,format,description,cluster,protein,base,ingredients
meal-001,Spaghetti bolognese,plate,"Classic comfort plate with rich beef sauce over pasta.",comfort,beef,pasta,"beef mince|spaghetti|crushed tomatoes|onions"
meal-002,Chicken alfredo pasta,plate,"Creamy chicken pasta night with a richer sauce-driven profile.",comfort,chicken,pasta,"chicken breast|spaghetti|cream|parmesan"
meal-003,Beef lasagna,plate,"Layered baked pasta that fits a hearty batch-cooking week.",comfort,beef,pasta,"beef mince|pasta|crushed tomatoes|parmesan"
meal-004,Mac and cheese,plate,"Cheesy baked comfort meal that pairs well with roasted vegetables.",comfort,vegetarian,pasta,"spaghetti|parmesan|cream|broccoli"
meal-005,Shepherd's pie,plate,"Hearty mince and potato bake for colder nights and leftovers.",hearty,beef,potatoes,"beef mince|potatoes|onions|carrots"
meal-006,Chicken pot pie,plate,"Creamy chicken filling baked into a cozy all-in-one dinner.",comfort,chicken,potatoes,"chicken breast|potatoes|cream|onions"
meal-007,Grilled chicken salad with avocado,salad,"Light but filling salad built around grilled chicken and fresh vegetables.",light,chicken,salad,"chicken breast|lettuce|cucumber|avocado"
meal-008,Quinoa bowl with roasted vegetables,bowl,"Healthy grain bowl using quinoa and a tray of roasted vegetables.",light,vegetarian,grain,"quinoa|broccoli|bell peppers|courgette"
meal-009,Salmon with steamed broccoli and rice,plate,"Balanced fish dinner with greens and a simple starch.",light,salmon,grain,"salmon fillets|broccoli|rice|lemons"
meal-010,Lentil soup,bowl,"Batch-friendly soup that keeps well and anchors lighter lunches.",light,vegetarian,soup,"lentils|onions|carrots|crushed tomatoes"
meal-011,Greek salad with feta,salad,"Fresh salad meal with cucumber tomato feta and bright acidity.",light,vegetarian,salad,"lettuce|cucumber|tomatoes|feta"
meal-012,Zucchini noodles with pesto,bowl,"Low-carb noodle bowl with pesto and a lighter weekly feel.",light,vegetarian,low-carb,"zucchini|pesto|parmesan|courgette"
meal-013,Chicken tacos,wrap,"Fast assembly meal that uses cooked chicken and fresh toppings.",international,chicken,wrap,"chicken breast|bell peppers|onions|lettuce"
meal-014,Beef burrito bowl,bowl,"Meal-prep favorite with rice beef vegetables and bold seasoning.",international,beef,grain,"beef mince|rice|bell peppers|onions"
meal-015,Margherita pizza,plate,"Simple pizza night that fits a tomato-and-cheese batch week.",international,vegetarian,bake,"crushed tomatoes|parmesan|basil|olive oil"
meal-016,Sushi rolls,box,"A structured rice-based meal with clean components and fresh fillings.",international,salmon,grain,"rice|salmon fillets|cucumber|avocado"
meal-017,Pad Thai,bowl,"Sweet-salty noodle dish that fits chicken tofu or mixed vegetables.",international,chicken,pasta,"chicken breast|spaghetti|broccoli|bell peppers"
meal-018,Butter chicken with naan,plate,"Rich curry-based dinner that uses chicken and a creamy sauce.",international,chicken,curry,"chicken breast|cream|onions|garlic"
meal-019,Falafel wrap,wrap,"Portable vegetarian wrap built around falafel salad and sauce.",international,vegetarian,wrap,"chickpeas|lettuce|cucumber|tomatoes"
meal-020,Ramen soup,bowl,"Brothy noodle meal with toppings that can be prepped in advance.",international,chicken,soup,"spaghetti|chicken breast|broccoli|onions"
meal-021,Cheeseburger and fries,plate,"Quick comfort meal built around beef potatoes and easy assembly.",quick,beef,potatoes,"beef mince|potatoes|lettuce|tomatoes"
meal-022,Omelette with vegetables,plate,"Fast protein-forward meal ideal for using small leftover vegetables.",quick,eggs,low-carb,"eggs|broccoli|bell peppers|onions"
meal-023,Grilled cheese sandwich and tomato soup,plate,"Simple cozy combo that works well in a comfort-focused week.",quick,vegetarian,soup,"parmesan|crushed tomatoes|bread|garlic"
meal-024,Chicken wrap,wrap,"Easy lunch wrap using cooked chicken salad vegetables and sauce.",quick,chicken,wrap,"chicken breast|lettuce|cucumber|tomatoes"
meal-025,Fried rice,bowl,"Leftover-friendly skillet meal based on rice eggs and mixed vegetables.",quick,eggs,grain,"rice|eggs|onions|broccoli"
meal-026,Steak with mashed potatoes,plate,"Hearty plated dinner with a classic protein-and-potato structure.",hearty,beef,potatoes,"beef mince|potatoes|green beans|butter"
meal-027,Roast chicken with vegetables,plate,"Sunday-style roast format that also feeds boxed lunches.",hearty,chicken,potatoes,"chicken breast|potatoes|broccoli|carrots"
meal-028,Chili con carne,bowl,"High-protein one-pot meal that scales well for batch cooking.",hearty,beef,soup,"beef mince|beans|crushed tomatoes|onions"
meal-029,Stuffed bell peppers,plate,"Vegetables turned into a full meal with filling and sauce.",hearty,beef,bake,"bell peppers|beef mince|rice|crushed tomatoes"
meal-030,Baked salmon with potatoes,plate,"Simple oven-based dinner pairing salmon with a hearty side.",hearty,salmon,potatoes,"salmon fillets|potatoes|broccoli|lemons"
